record,polled_utc,line,destination,arrival_utc,minutes_away
124,2025-05-07T16:47:40+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:48:13+00:00,0
125,2025-05-07T16:47:40+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,9
126,2025-05-07T16:47:40+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,19
127,2025-05-07T16:48:42+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,8
128,2025-05-07T16:48:42+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,18
129,2025-05-07T16:48:42+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,28
130,2025-05-07T16:49:44+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,7
131,2025-05-07T16:49:44+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,17
132,2025-05-07T16:49:44+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,27
133,2025-05-07T16:50:47+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,6
134,2025-05-07T16:50:47+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,16
135,2025-05-07T16:50:47+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,26
136,2025-05-07T16:51:49+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,5
137,2025-05-07T16:51:49+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,15
138,2025-05-07T16:51:49+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,25
139,2025-05-07T16:52:51+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:58:20+00:00,5
140,2025-05-07T16:52:51+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,14
141,2025-05-07T16:52:51+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,24
142,2025-05-07T16:53:53+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:57+00:00,4
143,2025-05-07T16:53:53+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,13
